Controlled Substances Schedule I,1970,1971,,1972,1973,,1974,Controlled Substances Schedule II,1975,1976,,1977,1978,1979,,1980,1981,1982,1983,1984,1985,,1986,,1987,1988,1989,1990,1991,1992,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,2015,
,Piminodine (9730),Piminodine (9730),,Piminodine (9730),Piminodine (9730),,Piminodine (9730),,Piminodine (9730),Piminodine (9730),,Piminodine (9730),Piminodine (9730),Piminodine (9730),,Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),,Piminodine (9730),,Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),
,Racemethorphan (9732),Racemethorphan (9732),,Racemethorphan (9732),Racemethorphan (9732),,Racemethorphan (9732),,Racemethorphan (9732),Racemethorphan (9732),,Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),,Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),,Racemethorphan (9732),,Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),,Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),Piminodine (9730),,Piminodine (9730),
,Racemorphan (9733),Racemorphan (9733),,Racemorphan (9733),Racemorphan (9733),,Racemorphan (9733),,Racemorphan (9733),Racemorphan (9733),,Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),,Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),,Racemorphan (9733),,Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),,Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),Racemethorphan (9732),,Racemethorphan (9732),
,,,,,,,,,,,,,,,,,"Dextropropoxyphene  (BULK) (9273) (Sept. 22, 1980)",Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),,Dextropropoxyphene  (BULK) (9273),,Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),,Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),Racemorphan (9733),,Racemorphan (9733),
,,,,,,,,,,,,,,,,,,,,,,,,,Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),,Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),Sufentanil (9740),,Sufentanil (9740),
,,,,,,,,,,,,,,,,,,,,,"Sufentanil (9740) (May 25, 1984)",,Sufentanil (9740),,Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),,Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),Dextropropoxyphene  (BULK) (9273),,Dextropropoxyphene  (BULK) (9273),
,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carfentanil (9743) (Oct. 28, 1988)",Carfentanil (9743),Carfentanil (9743) ,Carfentanil (9743) ,,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,Carfentanil (9743) ,,Carfentanil (9743) ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LEVO-ALPHACETYLMETHADOL (LAAM) (9648) (Aug. 8, 1993)",LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),LEVO-ALPHACETYLMETHADOL (LAAM) (9648),,LEVO-ALPHACETYLMETHADOL (LAAM) (9648),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Remifentanil (9739) (Nov. 5, 1996)",Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),Remifentanil (9739),,Remifentanil (9739),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tapentadol (9780) (June 22, 2009)",Tapentadol (9780),Tapentadol (9780),Tapentadol (9780),Tapentadol (9780),,Tapentadol (9780),
,,,"(d) Stimulants.  Unless specifically excepted or unless listed in another schedule, any material, compound, mixture, or preparation which contains any quantity of the following substances having a stimulant effect on the central nervous system:","Amphetemine (1100) (July 7, 1971)","Amphetemine (1,100)",,"Amphetemine (1,100)",,"Amphetemine (1,100)","Amphetemine (1,100)",,"Amphetemine (1,100)","Amphetemine (1,100)","Amphetemine (1,100)",,"Amphetemine (1,100)","Amphetemine (1,100)","Amphetemine (1,100)","Amphetemine (1,100)","Amphetemine (1,100)","Amphetemine (1,100)",,"Amphetemine (1,100)",,Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),,Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),Amphetemine (1100),,Amphetemine (1100),
,,,,"Methamphetamine (1105) (July 7, 1971)","Methamphetamine (1,105)",,"Methamphetamine (1,105)",,"Methamphetamine (1,105)","Methamphetamine (1,105)",,"Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)",,"Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)",,"Methamphetamine (1,105)",,"Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)",,"Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)","Methamphetamine (1,105)",,"Methamphetamine (1,105)",
,,,,"Phenmetrazine (1630) (Oct. 28, 1971)","Phenmetrazine (1,630)",,"Phenmetrazine (1,630)",,"Phenmetrazine (1,630)","Phenmetrazine (1,630)",,"Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)",,"Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)",,"Phenmetrazine (1,630)",,"Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)",,"Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)","Phenmetrazine (1,630)",,"Phenmetrazine (1,630)",
,,,,"Methylphenidate (1726) (Oct. 28, 1971)","Methylphenidate (1,726)",,"Methylphenidate (1,726)",,Methylphenidate (1726),"Methylphenidate (1,726)",,"Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)",,"Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)",,"Methylphenidate (1,726)",,"Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)",,"Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)","Methylphenidate (1,726)",,"Methylphenidate (1,726)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lisdexamfetamine (1205) (June 4, 2007)",Lisdexamfetamine (1205),Lisdexamfetamine (1205),Lisdexamfetamine (1205),Lisdexamfetamine (1205),Lisdexamfetamine (1205),Lisdexamfetamine (1205),,Lisdexamfetamine (1205),
,,,,"*** Biphetamine, Biphetamine-T, and Fetamin were transferred from Schedule III to Schedule II on July 23, 1971 pursuant to 36 FR 13686, however, none of these substances ever appear on the actual drug schedules",,"(e) Unless specifically excepted or unless listed in another schedule, any material, compound, mixture, or preparation which contains any quantity of the following substances having a depressant effect on the central nervous system, including its salts, isomers, and salts or isomers whenever the existence of such salts, isomers, and salts or isomers is possible within the specific checmical desination: (Nov. 13, 1973)","Secobarbital(2315)  (Nov. 13, 1973)",,Secobarbital(2315) ,Secobarbital(2315) ,,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,,Secobarbital(2315) ,,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,Secobarbital(2315) ,,Secobarbital(2315) ,
,,,,"*** Eskatrol from Schedule III to Schedule II on Aug. 18, 1971 pursuant to 36 FR 15744, however, this substance never appears on the actual drug schedules",,,"Amobarbital (2125) (Nov. 13, 1973)",,Amobarbital (2125),Amobarbital (2125),,Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),,Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),,Amobarbital (2125),,Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),,Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),Amobarbital (2125),,Amobarbital (2125),
,,,,,,,"Pentobarbital (2270) (Nov. 13, 1973)",,Pentobarbital (2270),Pentobarbital (2270),,Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),,Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),,Pentobarbital (2270),,Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),,Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),Pentobarbital (2270),,Pentobarbital (2270),
,,,,,,,"Methaqualone (2565) (Oct. 4, 1973)",,Methaqualone (2565),Methaqualone (2565),,Methaqualone (2565),Methaqualone (2565),Methaqualone (2565),,Methaqualone (2565),Methaqualone (2565),Methaqualone (2565),Methaqualone (2565),"Methaqualone (2565) (Aug. 27, 1984)",Phencyclidine (PCP) (7471),,Phencyclidine (PCP) (7471),,Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),,Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),,Phencyclidine (PCP) (7471),
,,,,,,,,,,,,,"Phencyclidine(PCP) (7471) (Feb. 24, 1978)",Phencyclidine (PCP) (7471),,Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),Phencyclidine (PCP) (7471),,,,,,,,,"Glutethimide (2550) (Mar. 21, 1991)",Glutethimide (2550),,Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),Glutethimide (2550),,Glutethimide (2550),
,,,,,,,,,,,,,,"Phenylcyclohexylamine (PCP Precursor) (7460) (June 16, 1978)","(f) Immediate precursors.  Unless specifically excepted or unless listed in another schedule, any material, compound, mixture, or preparation which contains any quantity of the following substances:",Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),,Phenylcyclohexylamine (PCP Precursor) (7460),(f) Hallucinogenic substances. ,"Dronabinol Prodcut (Marinol) (7369) (May 13, 1986)",Dronabinol Prodcut (Marinol) (7369),Dronabinol Prodcut (Marinol) (7369),Dronabinol Prodcut (Marinol) (7369),Dronabinol Prodcut (Marinol) (7369),Dronabinol Prodcut (Marinol) (7369),,Dronabinol Prodcut (Marinol) (7369),Dronabinol Prodcut (Marinol) (7369),Dronabinol Prodcut (Marinol) (7369),Dronabinol Prodcut (Marinol) (7369),Dronabinol Prodcut (Marinol) (7369),Dronabinol Prodcut (Marinol) (7369),"Dronabinol Prodcut (Marinol) (7369) (July 2, 1999)",Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),,Nabiline (7379),
,,,,,,,,,,,,,,"Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603) (June 16, 1978)",,Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),,Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),,,"Nabiline (7379) (Apr. 7, 1987)",Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),,Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),Nabiline (7379),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.) (Feb. 11, 1980)",Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),,Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"(g) Immediate precursors.  Unless specifically excepted or unless listed in another schedule, any material, compound, mixture, or preparation which contains any quantity of the following substances:",Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),,Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),Phenylcyclohexylamine (PCP Precursor) (7460),,Phenylcyclohexylamine (PCP Precursor) (7460),
,,,,,,,,,,,,,,,,,,,,,,,,,Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),,Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),,Piperidinocyclohexanecarbonitrile (PCP Precursor) (8603),
,,,,,,,,,,,,,,,,,,,,,,,,,Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),,Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),Phenylacetone (8501) (P2P; benzyl methyl ketone; etc.),,Nabilone (9379),
